origin_time,amp2_0.0158Hz,amp2_0.0199Hz,amp2_0.0251Hz,amp2_0.0316Hz,amp2_0.0398Hz,amp2_0.0501Hz,amp2_0.0631Hz,amp2_0.0794Hz,amp2_0.1000Hz,amp2_0.1259Hz,amp2_0.1585Hz,amp2_0.1995Hz,amp2_0.2512Hz,amp2_0.3162Hz,amp2_0.3981Hz,amp2_0.5012Hz,amp2_0.6310Hz,amp2_0.7943Hz,amp2_1.0000Hz,amp1_0.0158Hz,amp1_0.0199Hz,amp1_0.0251Hz,amp1_0.0316Hz,amp1_0.0398Hz,amp1_0.0501Hz,amp1_0.0631Hz,amp1_0.0794Hz,amp1_0.1000Hz,amp1_0.1259Hz,amp1_0.1585Hz,amp1_0.1995Hz,amp1_0.2512Hz,amp1_0.3162Hz,amp1_0.3981Hz,amp1_0.5012Hz,amp1_0.6310Hz,amp1_0.7943Hz,amp1_1.0000Hz
2020-01-24T17:55:15.540000Z,2.7846612206345453e-12,5.828131738865205e-12,1.8799612283445697e-11,4.065303526079367e-11,5.530539797416551e-11,6.398516804361844e-11,1.59169680150333e-10,1.4995672477272883e-10,1.9444030741534916e-10,1.2016683341236418e-10,1.1468361088639635e-10,7.849065116270928e-11,1.0421191634963242e-10,9.63295594158002e-11,8.662342159032816e-11,4.4867381445862095e-11,5.1918343439046286e-11,3.594064730233447e-11,2.1943734316638797e-11,,,,,,,,,,,,,,,,,,,
2020-01-28T19:10:23.760000Z,1.3887899446516236e-12,1.9937263401740986e-12,3.341290405388708e-12,9.731672149360849e-12,2.4747792201704047e-11,3.2767475322251475e-11,5.070292409331816e-11,2.4753045788654325e-11,1.651457399224325e-11,1.2927666847290946e-11,1.2553914337200617e-11,1.0024224174223763e-11,1.2477667748864243e-11,1.04256855610861e-11,9.232712050012527e-12,6.228829567869872e-12,6.073606960672438e-12,4.8571841439438994e-12,3.3377711121472318e-12,,,,,,,,,,,,,,,,,,,
2020-03-25T02:49:19.890000Z,3.4142654206318453e-12,1.3598037630195228e-11,2.524418776802603e-11,3.4533228705839354e-11,4.594609898859573e-11,8.849720658075929e-11,7.246079842138218e-11,4.356737215571275e-11,2.7405034586232262e-11,3.8025951451016286e-11,3.1158229821768775e-11,1.4151075549849812e-11,1.9157907100183268e-11,3.253159586802882e-11,1.3120908607323075e-11,1.7638956139316898e-11,1.7836502190253434e-11,1.5591444956829384e-11,1.0216153569956357e-11,,,,,,,,,,,,,,,,,,,
2020-05-02T12:51:05.870000Z,1.5894368921994453e-12,6.068917766549373e-12,1.0241642317317796e-11,1.6631937298772705e-11,3.2101381389065383e-11,5.060972933945626e-11,1.3513409807614723e-10,1.8837105780951395e-10,1.9963566013937807e-10,1.2078412418513163e-10,1.3715690722910416e-10,1.1043837561057968e-10,1.0919514095530989e-10,1.1341596331310492e-10,8.488022690101117e-11,7.172023378175732e-11,7.813738343941258e-11,5.354878471153069e-11,3.49788126875442e-11,,,,,,,,,,,,,,,,,,,
2020-06-23T15:29:02.870000Z,8.470621802559121e-13,2.015598620438417e-12,2.691726909887356e-12,1.665123868544828e-11,3.4797474379535004e-11,6.231870522801135e-11,4.007182101963479e-11,1.1049385090882995e-11,7.002383849125925e-12,9.310265042017432e-12,8.980820682211447e-12,7.56876945333908e-12,5.630034062854167e-12,4.838288488966241e-12,5.735022065961954e-12,5.107361235402168e-12,4.585246544818588e-12,3.5343010254854227e-12,2.5731472687052947e-12,,,,,,,,,,,,,,,,,,,
2020-07-22T06:12:43.490000Z,1.998777814416631e-12,3.196107092078635e-12,2.925718110180741e-12,1.2069139910425642e-11,5.1140272419706414e-11,5.4181249925093714e-11,3.986768925011942e-11,2.316404480287715e-11,1.0938327340061172e-11,1.5152495108044535e-11,1.2851147847795672e-11,1.3654096869719143e-11,1.4935391829109175e-11,1.477532574285127e-11,1.6209137767430886e-11,1.6578510218147133e-11,1.9450861456543457e-11,1.3116867301584243e-11,9.104154977495972e-12,,,,,,,,,,,,,,,,,,,
2020-07-22T20:07:18.730000Z,4.949207777774981e-13,1.4417563215529108e-12,4.190035793749511e-12,8.648230011539358e-12,1.9264122964086256e-11,1.5356830456913614e-11,2.3631640462504443e-11,3.967306732801374e-11,2.3533312466486077e-11,2.2425073721919853e-11,1.6646554470173418e-11,1.8199391155428478e-11,9.12133427311674e-12,4.2927390943251396e-12,3.869743144322021e-12,4.637246453829047e-12,6.607362301210839e-12,7.590538308629908e-12,6.029653283949931e-12,1.4921917000937456e-12,2.74857277869617e-12,7.813443891412377e-12,1.6686062624223666e-11,3.1200926137817755e-11,2.758279304795229e-11,3.46019858227704e-11,7.385229685884579e-11,5.463769800731292e-11,7.199774538902663e-11,9.517885120039991e-11,1.0063922896231219e-10,4.046407838104387e-11,3.0800886184704766e-11,1.661623663546074e-11,1.8328391131418412e-11,1.4789818939192884e-11,1.5496829049356652e-11,1.5237642979670337e-11
2020-08-18T22:23:58.660000Z,1.959534020861205e-13,4.269699180354818e-13,3.163341721511736e-12,1.3952899617282656e-11,2.3023501196853496e-11,3.5101143130750456e-11,2.5965699394007536e-11,1.557307103612819e-11,3.791169500721873e-12,2.545146582892744e-12,2.087116399038334e-12,1.4971903230750402e-12,2.521186991112028e-12,2.5682053506623917e-12,2.946580507986848e-12,3.6753551834541036e-12,4.3416975623583625e-12,4.543240972270544e-12,3.3656122679150255e-12,4.944081230936777e-12,5.355450379429425e-12,1.2110461825527615e-11,3.830744964889341e-11,5.391158779660115e-11,5.716827925933263e-11,4.4489113036996905e-11,3.0840803908680675e-11,1.832401733454338e-11,2.083006161222892e-11,2.913832958711977e-11,3.2328242106570344e-11,3.6862866947440785e-11,3.088382290702341e-11,2.8528267875461518e-11,3.4081817902086136e-11,2.939133527612083e-11,3.5333636532415255e-11,3.1465424767545366e-11
2020-09-01T04:09:28.400000Z,1.0122646723488759e-13,2.624908132903406e-13,5.455654416076872e-13,9.475620843927952e-13,2.0510064370410708e-12,3.8482011435916964e-12,3.5210587989246693e-12,7.562783879357624e-13,6.663354903401513e-13,7.962320098141561e-13,9.41805187253005e-13,1.573898675456255e-12,2.2214705018630475e-12,1.907514602139979e-12,2.065562017602289e-12,2.0290020043257946e-12,2.103579980888312e-12,2.184130779143736e-12,1.764843576421199e-12,,,,,,,,,,,,,,,,,,,
2020-10-19T20:54:39.700000Z,3.735764579594274e-12,4.981445681696018e-12,4.738622125587602e-12,1.3852912883084779e-11,3.1276399713832786e-11,5.313883188430343e-11,3.244284711802868e-11,1.8555347177822352e-11,1.7891883206989476e-11,1.7107151519564114e-11,1.2307711898023132e-11,1.533924171771468e-11,1.335453504593687e-11,1.433201886527114e-11,1.4994381873837703e-11,1.5736321894388237e-11,1.9606847264814364e-11,1.4319914306721336e-11,7.0727508580721125e-12,,,,,,,,,,,,,,,,,,,
